name;year;country;genre;rating;count_rating
Диверсант;2004;Россия;боевик, военный;8.0;34 732
Истребитель демонов;2019–;Япония;аниме, мультфильм;8.0;37 178
Хрустальный;2021–2021;Россия;драма;8.0;16 713
Дневники вампира;2009–2017;США;драма, фэнтези;8.0;171 437
Парки и зоны отдыха;2009–2020;США;комедия;8.0;27 678
Подпольная империя;2010–2014;США;драма, криминал;8.0;38 048
Великолепные Медичи;2018;Италия, Великобритания;драма;8.0;11 776
Кухня;2012–2016;Россия;комедия;8.0;222 032
Созданный в Бездне;2017–;Япония;аниме, мультфильм;8.0;9 360
Бездомный Бог;2014–2016;Япония;аниме, мультфильм;8.0;39 202
Гоморра;2014–2021;Италия, Германия;драма, криминал;8.0;9 029
Все ненавидят Криса;2005–2009;США;комедия;8.0;33 421
Доктор Кто;2005–;Великобритания;фантастика, драма;8.0;93 393
Паук;2015;Россия;детектив, криминал;8.0;14 215
Столпы Земли;2010;Германия, Канада;драма, история;8.0;18 699
Черепашки мутанты ниндзя;1987–1996;США, Франция;мультфильм, фантастика;8.0;32 412
Крик совы;2013;Россия;детектив, криминал;8.0;25 814
Тьма;2017–2020;Германия, США;триллер, фантастика;8.0;92 686
Как избежать наказания за убийство;2014–2020;США;детектив, триллер;8.0;71 370
Остаться в живых;2004–2010;США;фантастика, детектив;8.0;238 699
Кости;2005–2017;США;драма, мелодрама;8.0;69 731
Детективное агентство Дирка Джентли;2016–2017;США;фантастика, детектив;8.0;35 270
Дунканвилль;2020–;США;мультфильм, комедия;8.0;17 988
Аватар короля;2017–2020;Китай;мультфильм, фантастика;7.9;13 333
Белый воротничок;2009–2014;США;детектив, криминал;7.9;55 667
Обратная сторона Луны;2012–2016;Россия;фантастика, триллер;7.9;27 984
Белая королева;2013;Великобритания, Франция;драма, мелодрама;7.9;12 243
Компьютерщики;2006–2013;Великобритания;комедия;7.9;25 246
Супермен и Лоис;2021–;США;фантастика, боевик;7.9;16 372
Куртизанки;2017–2019;Великобритания, США;драма;7.9;19 337
Альф;1986–1990;США;фантастика, комедия;7.9;50 726
Участок;2003;Россия;комедия, криминал;7.9;88 790
Поколение убийц;2008;США, Великобритания;драма, военный;7.9;13 099
Кардинал;2017–2020;Канада;триллер, драма;7.9;9 608
Магическая битва;2020–2021;Япония;аниме, мультфильм;7.9;8 072
Казанова;2020–2020;Россия;детектив;7.9;40 206
Вайолет Эвергарден;2018–2018;Япония;аниме, мультфильм;7.9;9 756
Апостол;2008;Россия;боевик, военный;7.9;46 939
Однажды ночью;2016–2016;США;драма, криминал;7.9;32 682
Пространство;2015–;Канада, США;фантастика, драма;7.9;30 603
Дорохэдоро;2020;Япония;аниме, мультфильм;7.9;4 965
Регби;2021–2021;Россия;спорт, драма;7.9;7 153
Убийство на пляже;2013–2017;Великобритания;драма, криминал;7.9;29 816
Черный клевер;2017;Япония;аниме, мультфильм;7.9;17 337
Да благословят боги сей расчудесный мир!;2016–2017;Япония;аниме, мультфильм;7.9;17 128
Зачарованные;1998–2006;США;фэнтези, драма;7.9;106 371
Гримм;2011–2017;США;фэнтези, ужасы;7.9;95 657
Открытие ведьм;2018–;Великобритания;фэнтези, драма;7.9;73 388
Это мы;2016–2022;США;драма, мелодрама;7.9;23 748
Молокососы;2007–2013;Великобритания;драма;7.9;49 885
Приключения Джеки Чана;2000–2005;США, Гонконг;мультфильм, фэнтези;7.9;20 623
Измены;2015;Россия;мелодрама;7.9;44 720
Мотыльки;2013;Украина;драма;7.9;34 538
Уловка-22;2019;США;боевик, триллер;7.9;13 071
Зёма;2017–2021;Россия;комедия, драма;7.9;29 399
Аладдин;1994–1995;США;мультфильм, фэнтези;7.9;41 132
Черный Плащ;1991–1992;США;мультфильм, приключения;7.9;37 229
Сообщество;2009–2015;США;комедия;7.9;28 572
Лютер;2010–2019;Великобритания;детектив, триллер;7.9;43 993
И повсюду тлеют пожары;2020–2020;США;драма;7.9;51 410
Когда они нас увидят;2019;США;драма, криминал;7.9;9 334
Мистер Бин;1990–1995;Великобритания;комедия, семейный;7.9;54 564
Турецкий гамбит;2006;Россия, Болгария;боевик, триллер;7.9;24 455
Паразит: Учение о жизни;2014–2015;Япония;аниме, мультфильм;7.9;19 970
Американский папаша;2005–;США;мультфильм, комедия;7.9;74 868
Воин;2019–;США;боевик, драма;7.9;8 534
